;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
169;vpniatsmagativo;2284;0;1;NA;NA;0;;
170;grat eleitoral;2208;0;2;NA;NA;0;;
171;decisao judicial parcela de irredutibilidade;2200;0;1;NA;NA;0;;
172;substituicao cumulativa;2184;1;1;NA;NA;0;;
173;indenizacao de licenca compensatoria magistrados;2181;0;1;NA;NA;0;;
174;indenizacao de compensacao de horas licenca compensatoria;2145;0;1;NA;NA;0;;
175;assistencia medico social;2118;0;1;NA;NA;0;;
176;gratificacao encargo de curso e concurso;2108;3;3;NA;NA;0;;
177;inden telinter mov;2096;0;1;NA;NA;0;;
178;gel;2086;0;4;NA;NA;0;;
179;lei compl n 1842023;2066;0;1;NA;NA;0;;
180;designacaosubstituicao indenizacao de compensacao de horas gratificacao por acumulacao de acervo;2012;0;1;NA;NA;0;;
181;grat dir forum;2012;0;1;NA;NA;0;;
182;obras tecnicas;1970;0;1;NA;NA;0;;
183;licenca premio pecunia;1969;1;1;NA;NA;0;;
184;grat direcao forum;1944;0;1;NA;NA;0;;
185;hora extra servico extraordinario;1907;1;1;NA;NA;0;;
186;grat eleit de juizes substgraju;1875;0;1;NA;NA;0;;
187;gratacumjur;1843;0;1;NA;NA;0;;
188;parcela art 95 iiicrfb mag ativo;1809;0;1;NA;NA;0;;
189;ferias indenizadas;1801;1;1;NA;NA;0;;
190;designacaosubstituicao licenca compensatoria;1774;0;1;NA;NA;0;;
191;lic comp;1745;0;1;NA;NA;0;;
192;resp direcao de promotorias;1742;1;1;NA;NA;0;;
193;aux transp;1718;0;1;NA;NA;0;;
194;ind outros res 092014 tjto gratificacao de representacao;1702;0;1;NA;NA;0;;
195;outros eventos indenizaaaes;1691;0;1;NA;NA;0;;
196;indenizacao servico de comunic movel magistrado;1686;0;2;NA;NA;0;;
197;vpniatsmaginativo;1676;0;1;NA;NA;0;;
198;outras verbas;1664;1;1;NA;NA;0;;
199;funcao;1596;0;1;NA;NA;0;;
200;0032gtart5iier13cnj0185gtart5iijr13cnj0187gtart5iiir13cnj0188gtart5iifr13cnj0353gtart5iiar13cnj0354gtart5iibg13cnj;1562;0;1;NA;NA;0;;
201;indenizacao de cumulacao art 2o da resolucao 09;1533;0;1;NA;NA;0;;
202;dif grat ferias integral;1530;0;1;NA;NA;0;;
203;dif individual mag ativo;1523;0;1;NA;NA;0;;
204;gratificacao de direcao de forum devolucoes de valores;1522;0;1;NA;NA;0;;
205;vantagem pessoal ats;1512;0;1;NA;NA;0;;
206;diferenca anterior dentro do exercicio;1508;1;1;NA;NA;0;;
207;pecunia art 127 lc 962010;1483;0;1;NA;NA;0;;
208;outras indenizacoes;1451;1;1;NA;NA;0;;
209;auxilio;1430;1;1;NA;NA;0;;
210;grat pacumulacao de acervo;1409;0;1;NA;NA;0;;
211;bolsa de pos graduacao;1398;0;1;NA;NA;0;;
212;inden conv ferias em pecunia com 13 const;1387;1;1;NA;NA;0;;
213;indenizacao resolucao 92014art 1o v5;1383;0;1;NA;NA;0;;
214;pivp;1379;0;1;NA;NA;0;;
215;antecipacao rem mes posterior;1361;1;1;NA;NA;0;;
216;grat encargo de curso e concurso;1361;1;1;NA;NA;0;;
217;acf meses anteriores;1338;1;1;NA;NA;0;;
218;funcao gratificada gratacumjur;1326;0;1;NA;NA;0;;
