;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
1600;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122169;11;0;1;NA;NA;0;;
1601;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122171;11;0;1;NA;NA;0;;
1602;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122172;11;0;1;NA;NA;0;;
1603;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122173;11;0;1;NA;NA;0;;
1604;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122174;11;0;1;NA;NA;0;;
1605;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122175;11;0;1;NA;NA;0;;
1606;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122176;11;0;1;NA;NA;0;;
1607;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122177;11;0;1;NA;NA;0;;
1608;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122178;11;0;1;NA;NA;0;;
1609;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122179;11;0;1;NA;NA;0;;
1610;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122180;11;0;1;NA;NA;0;;
1611;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122181;11;0;1;NA;NA;0;;
1612;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122182;11;0;1;NA;NA;0;;
1613;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122183;11;0;1;NA;NA;0;;
1614;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122184;11;0;1;NA;NA;0;;
1615;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122185;11;0;1;NA;NA;0;;
1616;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122186;11;0;1;NA;NA;0;;
1617;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122187;11;0;1;NA;NA;0;;
1618;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122188;11;0;1;NA;NA;0;;
1619;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122189;11;0;1;NA;NA;0;;
1620;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122190;11;0;1;NA;NA;0;;
1621;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122191;11;0;1;NA;NA;0;;
1622;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122192;11;0;1;NA;NA;0;;
1623;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122193;11;0;1;NA;NA;0;;
1624;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122194;11;0;1;NA;NA;0;;
1625;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122196;11;0;1;NA;NA;0;;
1626;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122197;11;0;1;NA;NA;0;;
1627;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122198;11;0;1;NA;NA;0;;
1628;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122199;11;0;1;NA;NA;0;;
1629;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122200;11;0;1;NA;NA;0;;
1630;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122201;11;0;1;NA;NA;0;;
1631;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122202;11;0;1;NA;NA;0;;
1632;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122203;11;0;1;NA;NA;0;;
1633;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122204;11;0;1;NA;NA;0;;
1634;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122205;11;0;1;NA;NA;0;;
1635;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122206;11;0;1;NA;NA;0;;
1636;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122207;11;0;1;NA;NA;0;;
1637;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122208;11;0;1;NA;NA;0;;
1638;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122209;11;0;1;NA;NA;0;;
1639;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122210;11;0;1;NA;NA;0;;
1640;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122211;11;0;1;NA;NA;0;;
1641;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122212;11;0;1;NA;NA;0;;
1642;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122213;11;0;1;NA;NA;0;;
1643;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122214;11;0;1;NA;NA;0;;
1644;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122215;11;0;1;NA;NA;0;;
1645;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122216;11;0;1;NA;NA;0;;
1646;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122217;11;0;1;NA;NA;0;;
1647;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122218;11;0;1;NA;NA;0;;
1648;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122219;11;0;1;NA;NA;0;;
1649;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122220;11;0;1;NA;NA;0;;
1650;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122221;11;0;1;NA;NA;0;;
1651;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122222;11;0;1;NA;NA;0;;
1652;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122223;11;0;1;NA;NA;0;;
1653;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122224;11;0;1;NA;NA;0;;
1654;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122225;11;0;1;NA;NA;0;;
1655;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122226;11;0;1;NA;NA;0;;
1656;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122227;11;0;1;NA;NA;0;;
1657;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122228;11;0;1;NA;NA;0;;
1658;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122229;11;0;1;NA;NA;0;;
1659;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122230;11;0;1;NA;NA;0;;
1660;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122231;11;0;1;NA;NA;0;;
1661;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122232;11;0;1;NA;NA;0;;
1662;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122233;11;0;1;NA;NA;0;;
1663;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122234;11;0;1;NA;NA;0;;
1664;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122235;11;0;1;NA;NA;0;;
1665;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122236;11;0;1;NA;NA;0;;
1666;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122237;11;0;1;NA;NA;0;;
1667;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122241;11;0;1;NA;NA;0;;
1668;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122242;11;0;1;NA;NA;0;;
1669;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122243;11;0;1;NA;NA;0;;
1670;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122244;11;0;1;NA;NA;0;;
1671;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122245;11;0;1;NA;NA;0;;
1672;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122246;11;0;1;NA;NA;0;;
1673;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122247;11;0;1;NA;NA;0;;
1674;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122249;11;0;1;NA;NA;0;;
1675;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122250;11;0;1;NA;NA;0;;
1676;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122251;11;0;1;NA;NA;0;;
1677;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122252;11;0;1;NA;NA;0;;
1678;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122253;11;0;1;NA;NA;0;;
1679;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122254;11;0;1;NA;NA;0;;
1680;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122255;11;0;1;NA;NA;0;;
1681;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122256;11;0;1;NA;NA;0;;
1682;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122257;11;0;1;NA;NA;0;;
1683;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122258;11;0;1;NA;NA;0;;
1684;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122259;11;0;1;NA;NA;0;;
1685;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122260;11;0;1;NA;NA;0;;
1686;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122261;11;0;1;NA;NA;0;;
1687;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122265;11;0;1;NA;NA;0;;
1688;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122266;11;0;1;NA;NA;0;;
1689;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122267;11;0;1;NA;NA;0;;
1690;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122155;11;0;1;NA;NA;0;;
1691;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122239;11;0;1;NA;NA;0;;
1692;compensatoria indenizada;11;0;1;NA;NA;0;;
1693;convers pecun;11;0;1;NA;NA;0;;
1694;convocacoes gratificacao de docencia;11;0;1;NA;NA;0;;
1695;corr monetaria pensao civil cpss e ir;11;0;1;NA;NA;0;;
1696;dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto;11;0;1;NA;NA;0;;
1697;devolucoes de ir;11;0;1;NA;NA;0;;
1698;devolucoes de valores juros indenizacao de remuneracao;11;0;1;NA;NA;0;;
1699;devolucoesacerto financeiro licenca compensatoria gratificacao de gabinete;11;0;1;NA;NA;0;;
1700;dif ent ferias13substituicao;11;0;1;NA;NA;0;;
1701;dif ent feriaspecunia licenca exerant;11;0;1;NA;NA;0;;
1702;ferias13 conv pec;11;0;1;NA;NA;0;;
1703;grat ass correged;11;0;1;NA;NA;0;;
1704;gratificacao de dificil provimento dif grat exerc adminjurisacervo;11;0;1;NA;NA;0;;
1705;gratificacao de direcao de forum correcao monet indenizatoria;11;0;1;NA;NA;0;;
1706;indenizacao de licenca premio gratificacao de gabinete gratificacao por acumulacao de acervo;11;0;1;NA;NA;0;;
1707;pensao vant art184 i lei 171152;11;0;1;NA;NA;0;;
1708;prosaude beneficiario tipo 2 parcelado;11;0;1;NA;NA;0;;
1709;prosaude coparticipacao depend associados;11;0;1;NA;NA;0;;
1710;resolucao 13 cnj art 5a complementacao;11;0;1;NA;NA;0;;
1711;13 abono ec 4103pecunia licenca vigente;10;0;1;NA;NA;0;;
1712;74 grat juiz auxiliar da presidencia 355 grat de acervo;10;0;1;NA;NA;0;;
1713;74 grat juiz auxiliar presidencia 355 grat de acervo;10;0;1;NA;NA;0;;
1714;abate teto ec 41 ffipajm sobre 13;10;0;1;NA;NA;0;;
1715;adicional por tempo de servico magistrado vantagem pessoal lei 952797 dec jud;10;0;1;NA;NA;0;;
1716;ant jetons 122023;10;0;1;NA;NA;0;;
1717;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122142;10;0;1;NA;NA;0;;
1718;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122149;10;0;1;NA;NA;0;;
1719;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122248;10;0;1;NA;NA;0;;
1720;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122263;10;0;1;NA;NA;0;;
1721;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122170;10;0;1;NA;NA;0;;
1722;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122236;10;0;1;NA;NA;0;;
1723;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122255;10;0;1;NA;NA;0;;
1724;convocacoesdevolucao de outros valores;10;0;1;NA;NA;0;;
1725;devol funpresp patrocinada juros;10;0;1;NA;NA;0;;
1726;devolucao de desconto indevido de fps;10;0;1;NA;NA;0;;
1727;devolucao irrf ferias;10;0;1;NA;NA;0;;
1728;devolucoes de valores convocacoes gratificacao de docencia;10;0;1;NA;NA;0;;
1729;devolucoesacerto financeiro gratificacao de gabinete gratificacao por acumulacao de acervo;10;0;1;NA;NA;0;;
1730;dif antecipacao salarial;10;0;1;NA;NA;0;;
1731;dif gratjuiz substituto de 2o grau;10;0;1;NA;NA;0;;
1732;difauxilio mormag;10;0;1;NA;NA;0;;
1733;diferenca de subsidio;10;0;1;NA;NA;0;;
1734;exercicios anteriores jetons ref 122020;10;0;1;NA;NA;0;;
1735;grat juizturma recursal;10;0;1;NA;NA;0;;
1736;grat vicepresidente grat seg vpresid;10;0;1;NA;NA;0;;
1737;gratencpresidencia;10;0;1;NA;NA;0;;
1738;gratifexerccumuldeoficiolei1302414compss;10;1;1;NA;NA;0;;
1739;gratificacao encargos concurso;10;0;1;NA;NA;0;;
1740;indenizacao de licenca compensatoria magistrados indenizacao de licenca compensatoria magistrados;10;0;1;NA;NA;0;;
1741;ir s13 de ferias const;10;1;1;NA;NA;0;;
1742;irredutibilidade representacao;10;0;1;NA;NA;0;;
1743;parcela de irredutibilidades;10;0;1;NA;NA;0;;
1744;reembolso de despesas medicas dev unimedcusteio devolucao ajufe dev unimed plano assist medica dev prosercontribuicao mensal dec jud ntj devolucao deducao por limite de remuneracaopensionista dec jud ntj devolucao deducao por limite de remuneracaopensionista agn;10;0;1;NA;NA;0;;
1745;urv atual;10;0;1;NA;NA;0;;
1746;13 abono ec 410313substituicaopecunia licenca exerant;9;0;1;NA;NA;0;;
1747;1408 diferenca de entrancia;9;0;1;NA;NA;0;;
1748;1413 grat presidente;9;0;1;NA;NA;0;;
1749;1423 grat seg vpresid;9;0;1;NA;NA;0;;
1750;abate teto ec 41 abate teto ec 41 abate teto ec 41;9;0;1;NA;NA;0;;
1751;abate teto ec 41 abate teto ec 41 abate teto ec 41 13s;9;0;1;NA;NA;0;;
1752;abono pec;9;0;1;NA;NA;0;;
1753;abono pecuniario de ferias magistradosabono pecuniario de ferias magistrados;9;0;1;NA;NA;0;;
1754;adicional por tempo de servico magistrado vpni dec jud tran jul ativo;9;0;1;NA;NA;0;;
1755;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122239;9;0;1;NA;NA;0;;
1756;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122264;9;0;1;NA;NA;0;;
1757;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122269;9;0;1;NA;NA;0;;
1758;aux saude magis exerc anterior aux saude magis exerc anterior;9;0;1;NA;NA;0;;
1759;beneficio espec lei 12618 magistrado pensao;9;0;1;NA;NA;0;;
1760;com conc res 252016;9;0;1;NA;NA;0;;
1761;convocacoes gratificacao encargos concurso;9;0;1;NA;NA;0;;
1762;dec jud restabelecimento de pensao;9;0;1;NA;NA;0;;
1763;dif indenizacao resolucao 92014art 1 ii25;9;0;1;NA;NA;0;;
1764;dif ressarcimento mestradoposdoutorado;9;1;1;NA;NA;0;;
1765;diferenca indenizada;9;1;1;NA;NA;0;;
1766;grat direcao forum devol teto salarial;9;0;1;NA;NA;0;;
1767;gratificacao magisterio gratacumjur;9;0;1;NA;NA;0;;
1768;gratificacao presenca;9;0;1;NA;NA;0;;
1769;indenizacao juiz auxiliar da presidencia res tse no 235852018;9;0;1;NA;NA;0;;
1770;ir rra;9;0;1;NA;NA;0;;
1771;irrra;9;0;1;NA;NA;0;;
1772;juros e correcao monetaria nao tributaveis magistratura;9;0;1;NA;NA;0;;
1773;parcela autonoma de equivalenciapae;9;0;1;NA;NA;0;;
1774;reembolso medico assistencia medico odontologica trt reembolso medico saude10;9;0;1;NA;NA;0;;
1775;repres presidencia;9;0;1;NA;NA;0;;
1776;27 grat de diretor de foro 2o grau;8;0;1;NA;NA;0;;
1777;abate teto ec 41 fpipajm 13 lc 282;8;0;1;NA;NA;0;;
1778;ant jeton 122019;8;0;1;NA;NA;0;;
1779;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122089;8;0;1;NA;NA;0;;
1780;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122240;8;0;1;NA;NA;0;;
1781;aux doencafinanceiro a partir do 16o dia;8;0;1;NA;NA;0;;
1782;decjudntj isencao ir s abono perman decjudntj isencao ir s abono perman;8;0;1;NA;NA;0;;
1783;despexercantpensao magist irrfpsss;8;0;1;NA;NA;0;;
1784;dev de valores convocacoes;8;0;1;NA;NA;0;;
1785;devolde ferias;8;0;1;NA;NA;0;;
1786;devolucao de limitador;8;0;1;NA;NA;0;;
1787;devolucoes de valores grat correg adjunto;8;0;1;NA;NA;0;;
1788;devolucoesacerto financeiro indenizacao de compensacao de horas indenizacao de licenca premio gratificacao por acumulacao de acervo;8;0;1;NA;NA;0;;
1789;difgrprescamiso;8;0;1;NA;NA;0;;
1790;funcao gratificada gratificacao magisterio gratacumjur;8;0;1;NA;NA;0;;
1791;grat col recursal difgr dir forum;8;0;1;NA;NA;0;;
1792;grat coordenacao de cejusc;8;0;1;NA;NA;0;;
1793;grat docencia capacitador espec res 2213pr;8;0;1;NA;NA;0;;
1794;grat horaaulapecunia licenca vigente;8;0;1;NA;NA;0;;
1795;grat presidente grat vicepresidente;8;0;1;NA;NA;0;;
1796;gratificacao de direcao de forum diferenca de entrancia devolucoes de valores;8;0;1;NA;NA;0;;
1797;gratificacao magisterio;8;0;1;NA;NA;0;;
1798;gratificacao natalina magistrado pensao decisao judicial trans julgado pensao lei 171152 art 184 20 dec jud trans julgado;8;0;1;NA;NA;0;;
1799;hora extra indenizada;8;0;1;NA;NA;0;;
1800;horas extras indenizadas;8;0;1;NA;NA;0;;
1801;indenizacao licenca compensatoria indenizacao pedagio magistrado;8;0;1;NA;NA;0;;
1802;jeton prop 122019;8;0;1;NA;NA;0;;
1803;juros de mora pensao cir;8;0;1;NA;NA;0;;
1804;juros gratificacao de docencia;8;0;1;NA;NA;0;;
1805;outros eventos indenizacao;8;0;1;NA;NA;0;;
1806;reembolso de despesas medicas devolucao unimed mensalidadereembolso de despesas medicas devolucao unimed mensalidade;8;0;1;NA;NA;0;;
1807;reembolso exames periodicos;8;0;1;NA;NA;0;;
1808;reprlei 553509 vi e vii13substituicaoind pla restjoe122015ant;8;0;1;NA;NA;0;;
1809;ressarcimento ao erario;8;0;1;NA;NA;0;;
1810;retencao de cota parte pensao civil lei 171152 art 184 20 dec jud;8;0;1;NA;NA;0;;
1811;substituicaodesignacao art 1 da resolucao 09;8;0;1;NA;NA;0;;
1812;37 grat turma recursal 357 grat de acervo exerc ant;7;0;1;NA;NA;0;;
1813;abate teto ec 41 13s;7;0;1;NA;NA;0;;
1814;abono de perm s antec grat natalina;7;0;1;NA;NA;0;;
1815;abono permanencia antec 13 sal 11;7;0;1;NA;NA;0;;
1816;ajuda de custo informado;7;0;1;NA;NA;0;;
1817;ant jeton 122020;7;0;1;NA;NA;0;;
1818;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122093;7;0;1;NA;NA;0;;
1819;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122248;7;0;1;NA;NA;0;;
1820;auxilio bolsa de estudos;7;0;1;NA;NA;0;;
1821;auxilio bolsa mestrado;7;0;1;NA;NA;0;;
1822;bolsa pesquisa retroativa res072015pr tjro;7;0;1;NA;NA;0;;
1823;dev preves servidor;7;0;1;NA;NA;0;;
1824;devolfunpresp patrocinada;7;0;1;NA;NA;0;;
1825;devolucao de contribuicao previdenciaria;7;0;1;NA;NA;0;;
1826;devolucoes de valores grat corregedor;7;0;1;NA;NA;0;;
1827;dif aux moradia;7;0;1;NA;NA;0;;
1828;dif gratificacao por funcao mininisterio publico;7;1;1;NA;NA;0;;
1829;dif indenizacao resolucao 92014art 1o ii25;7;0;1;NA;NA;0;;
1830;dif subsidio inativo;7;0;1;NA;NA;0;;
1831;diferenca de entrancia devolucoes de valores;7;0;1;NA;NA;0;;
1832;diferenca de subsidios retro;7;0;1;NA;NA;0;;
1833;exercicios anteriores pae esc 5 rra jr;7;0;1;NA;NA;0;;
1834;grat direcao forum dif abono ferias;7;0;1;NA;NA;0;;
1835;grat direcao forum grat col recursal devol teto salarial;7;0;1;NA;NA;0;;
1836;grat eleit ref 01 e 0222;7;0;1;NA;NA;0;;
1837;grat eleit retro 122021;7;0;1;NA;NA;0;;
1838;grat exerc presidencia vantagem pessoal localidade;7;0;1;NA;NA;0;;
1839;grat presid camara retroa lc 9493 art56 4o ii coje;7;0;1;NA;NA;0;;
1840;gratif presidencia;7;0;1;NA;NA;0;;
1841;gratificacao de direcao de forum devolucoes de valores convocacoes;7;0;1;NA;NA;0;;
1842;gratificacao de direcao de forum juros indenizacao de remuneracao plantao judiciario pecunia;7;0;1;NA;NA;0;;
1843;gratificacao por encargo de curso enamat;7;0;1;NA;NA;0;;
1844;indeniz serv de comun movel magistrados trt15 indenizacao combustivel magistrado indenizacao licenca compensatoria;7;0;1;NA;NA;0;;
1845;indenizaaao de licenaa compensataria magistrados;7;0;1;NA;NA;0;;
1846;indenizacao ferias premio;7;0;1;NA;NA;0;;
1847;indenizacao lic compensatoria restj 112023 e outro;7;0;1;NA;NA;0;;
1848;iper ressarcimento;7;0;1;NA;NA;0;;
1849;ir preves normal mensal segurado;7;0;1;NA;NA;0;;
1850;jeton 122022;7;0;1;NA;NA;0;;
1851;reembolso odontologico;7;0;2;NA;NA;0;;
1852;repres lei 553509 inc i e ii;7;0;1;NA;NA;0;;
1853;rra dif abono permanencia;7;0;1;NA;NA;0;;
1854;rra grat de diretoria de forummagi;7;0;1;NA;NA;0;;
1855;13 abono ec 4103ind pla restjoe122015ant;6;0;1;NA;NA;0;;
1856;26 grat diretor de foro;6;0;1;NA;NA;0;;
1857;355 grat de acervo 356 dif de grat de acervo;6;0;1;NA;NA;0;;
1858;abate teto ec 41 ffipajm mensal;6;0;1;NA;NA;0;;
1859;abono pecun;6;0;1;NA;NA;0;;
1860;abono permanencia iper ex anterior;6;0;1;NA;NA;0;;
1861;auxilio creche convocacoes;6;0;1;NA;NA;0;;
1862;auxilio creche pj auxilio creche pj auxilio creche pj auxilio creche pj auxilio creche pj auxilio creche pj;6;0;1;NA;NA;0;;
1863;auxilio funeral magistrado inativo;6;0;1;NA;NA;0;;
1864;correcao inativo;6;0;1;NA;NA;0;;
1865;dec judic tj quintosdcimos vpni mag dec judic tj quintosdcimos vpni mag;6;0;1;NA;NA;0;;
1866;decjudntj isencao ir s abono perman;6;0;1;NA;NA;0;;
1867;despexantinat abono pec plantao mag sinc;6;0;1;NA;NA;0;;
1868;dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto;6;0;1;NA;NA;0;;
1869;devolucao de vantagens eventuais parcela autonoma de equivalencia pae;6;0;1;NA;NA;0;;
1870;devolucao subsidios;6;0;1;NA;NA;0;;
1871;devolucoes de valores grat vicepresidente grat seg vpresid;6;0;1;NA;NA;0;;
1872;devolucoes de valores juros;6;0;1;NA;NA;0;;
1873;dif abono ferias difgr colrecursal;6;0;1;NA;NA;0;;
1874;dif auxiliosaude magistrados;6;0;1;NA;NA;0;;
1875;dif djntj provento provisorio;6;0;1;NA;NA;0;;
1876;dif indenizacao de licenca compensatoria magistrados dif indenizacao de licenca compensatoria magistrados;6;0;1;NA;NA;0;;
1877;diferenca adicional 13 ferias;6;0;1;NA;NA;0;;
1878;exercicios anteriores gratifexerccumuloficjurisd exercicios anteriores gratifexerccumuloficjurisd cm;6;0;1;NA;NA;0;;
1879;exercicios anteriores pae esc 5 rra cm;6;0;1;NA;NA;0;;
1880;ferias indenizatorias;6;1;1;NA;NA;0;;
1881;ffipajm mensal ffipajm mensal ffipajm mensal;6;0;1;NA;NA;0;;
1882;funcao gratificada funcao gratificada funcao gratificada gratacumjur;6;0;1;NA;NA;0;;
1883;funcao gratificada funcao gratificada gratacumjur gratacumjur;6;0;1;NA;NA;0;;
1884;gn sgecj e subst;6;0;1;NA;NA;0;;
1885;grat horaaulaind pla restjoe122015ant;6;0;1;NA;NA;0;;
1886;grat horaaularepr 553509 iii iv e v13 abono ec 4103;6;0;1;NA;NA;0;;
1887;grat horaaularepr 553509 iii iv e vpecunia licenca vigente;6;0;1;NA;NA;0;;
1888;gratificacao de comissaodea;6;0;1;NA;NA;0;;
1889;gratificacao de docencia plantao judiciario pecunia;6;0;1;NA;NA;0;;
1890;gratificacao de magisterio enamat;6;0;1;NA;NA;0;;
1891;gratificacao de presidencia 13 salario;6;0;1;NA;NA;0;;
1892;gratificacao eleitoral 07 e 082019;6;0;1;NA;NA;0;;
1893;gratificacao eleitoral rgps;6;0;1;NA;NA;0;;
1894;horas de credito indenizadas;6;0;1;NA;NA;0;;
1895;indenizacao acumulo jurisdicao;6;0;1;NA;NA;0;;
1896;indenizacao de combustivel magistrados;6;0;2;NA;NA;0;;
1897;indenizacao de compensacao de horas indenizacao de licenca premio gratificacao de gabinete;6;0;1;NA;NA;0;;
1898;indenizacao de licenca compensatoria magistrados dev indenizacao de licenca compensatoria magistrados;6;0;1;NA;NA;0;;
1899;indenizacao de recesso;6;0;2;NA;NA;0;;
1900;ir;6;0;1;NA;NA;0;;
1901;juros de mora pensao sem incidencia;6;0;1;NA;NA;0;;
1902;plano segursocial natalina teto previdenciario e pss;6;0;1;NA;NA;0;;
1903;redutor constitucional devol e ats exerc ant;6;0;1;NA;NA;0;;
1904;reembmedico;6;0;1;NA;NA;0;;
1905;reprlei 553509 vi e vii13 abono ec 4103pecunia licenca exerant;6;0;1;NA;NA;0;;
1906;restituicao de montepio civil da uniao contribuicoes corrigidas;6;0;1;NA;NA;0;;
1907;subsidiolei 1114405 ativo;6;1;1;NA;NA;0;;
1908;substituicao fccc;6;1;1;NA;NA;0;;
1909;vacina;6;0;1;NA;NA;0;;
1910;vpni 0 dectransito em julgado;6;0;1;NA;NA;0;;
1911;1414 grat vicepresidente;5;0;1;NA;NA;0;;
1912;1415 grat corregedor;5;0;1;NA;NA;0;;
1913;1424 grat correg adjunto;5;0;1;NA;NA;0;;
1914;166 quinquenio verbas rescisorias;5;0;1;NA;NA;0;;
1915;28 grat diretor de foro;5;0;1;NA;NA;0;;
1916;314 licenca premiopecunia exerc anterior;5;0;1;NA;NA;0;;
1917;353 grat de diretor de foro 2 grau;5;0;1;NA;NA;0;;
1918;74 grat juiz auxiliar da presidenci;5;0;1;NA;NA;0;;
1919;antec abono pec;5;0;1;NA;NA;0;;
